date,category_id,category_title,revenue
2025-03-01,1,Wine,141429936.0
2025-04-01,1,Wine,147448704.0
2025-05-01,1,Wine,126281848.0
2025-06-01,1,Wine,134788448.0
2025-07-01,1,Wine,131185840.0
2025-08-01,1,Wine,138207632.0
2025-09-01,1,Wine,159760496.0
2025-10-01,1,Wine,142487120.0
2025-11-01,1,Wine,134573664.0
2025-12-01,1,Wine,123512624.0
2026-01-01,1,Wine,134312304.0
2026-02-01,1,Wine,127758208.0
2026-03-01,1,Wine,151189856.0
2026-04-01,1,Wine,150875280.0
2026-05-01,1,Wine,123904608.0
2026-06-01,1,Wine,153091536.0
2026-07-01,1,Wine,131651848.0
2026-08-01,1,Wine,136537488.0
2025-03-01,2,Champagne & Sparkling Wine,180989088.0
2025-04-01,2,Champagne & Sparkling Wine,178650048.0
2025-05-01,2,Champagne & Sparkling Wine,148090208.0
2025-06-01,2,Champagne & Sparkling Wine,174789168.0
2025-07-01,2,Champagne & Sparkling Wine,177561504.0
2025-08-01,2,Champagne & Sparkling Wine,176378896.0
2025-09-01,2,Champagne & Sparkling Wine,176601696.0
2025-10-01,2,Champagne & Sparkling Wine,173519472.0
2025-11-01,2,Champagne & Sparkling Wine,178984400.0
2025-12-01,2,Champagne & Sparkling Wine,182123120.0
2026-01-01,2,Champagne & Sparkling Wine,188675200.0
2026-02-01,2,Champagne & Sparkling Wine,179456624.0
2026-03-01,2,Champagne & Sparkling Wine,185252272.0
2026-04-01,2,Champagne & Sparkling Wine,172040944.0
2026-05-01,2,Champagne & Sparkling Wine,170945168.0
2026-06-01,2,Champagne & Sparkling Wine,174398608.0
2026-07-01,2,Champagne & Sparkling Wine,178576160.0
2026-08-01,2,Champagne & Sparkling Wine,187579088.0
2025-03-01,3,Whiskey,525924224.0
2025-04-01,3,Whiskey,607331072.0
2025-05-01,3,Whiskey,532538272.0
2025-06-01,3,Whiskey,532640032.0
2025-07-01,3,Whiskey,543385920.0
2025-08-01,3,Whiskey,601579072.0
2025-09-01,3,Whiskey,584383680.0
2025-10-01,3,Whiskey,582976896.0
2025-11-01,3,Whiskey,600413568.0
2025-12-01,3,Whiskey,588103616.0
2026-01-01,3,Whiskey,592214208.0
2026-02-01,3,Whiskey,591884544.0
2026-03-01,3,Whiskey,575537024.0
2026-04-01,3,Whiskey,542380672.0
2026-05-01,3,Whiskey,528375136.0
2026-06-01,3,Whiskey,548816768.0
2026-07-01,3,Whiskey,530874848.0
2026-08-01,3,Whiskey,584238656.0
2025-03-01,4,Cognac & Brandy,98957320.0
2025-04-01,4,Cognac & Brandy,88012568.0
2025-05-01,4,Cognac & Brandy,97548312.0
2025-06-01,4,Cognac & Brandy,100441736.0
2025-07-01,4,Cognac & Brandy,95006456.0
2025-08-01,4,Cognac & Brandy,100981464.0
2025-09-01,4,Cognac & Brandy,97621040.0
2025-10-01,4,Cognac & Brandy,100428472.0
2025-11-01,4,Cognac & Brandy,97965536.0
2025-12-01,4,Cognac & Brandy,98199928.0
2026-01-01,4,Cognac & Brandy,102466304.0
2026-02-01,4,Cognac & Brandy,106194520.0
2026-03-01,4,Cognac & Brandy,103599256.0
2026-04-01,4,Cognac & Brandy,102854688.0
2026-05-01,4,Cognac & Brandy,113045720.0
2026-06-01,4,Cognac & Brandy,113160648.0
2026-07-01,4,Cognac & Brandy,101644736.0
2026-08-01,4,Cognac & Brandy,105354856.0
2025-03-01,5,Vodka,103883960.0
2025-04-01,5,Vodka,106088888.0
2025-05-01,5,Vodka,115791736.0
2025-06-01,5,Vodka,111152312.0
2025-07-01,5,Vodka,117201864.0
2025-08-01,5,Vodka,109604872.0
2025-09-01,5,Vodka,101607736.0
2025-10-01,5,Vodka,119994600.0
2025-11-01,5,Vodka,121283912.0
2025-12-01,5,Vodka,114186032.0
2026-01-01,5,Vodka,107607096.0
2026-02-01,5,Vodka,114366128.0
2026-03-01,5,Vodka,121301904.0
2026-04-01,5,Vodka,119554040.0
2026-05-01,5,Vodka,118908672.0
2026-06-01,5,Vodka,114082736.0
2026-07-01,5,Vodka,111826384.0
2026-08-01,5,Vodka,119727168.0
